name,unicode,keywords,definition
cat face with tears of joy,U+1F639,cat joy face tear,The cat variant of the Face With Tears Of Joy. Cat Face With Tears of Joy was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 http://emojipedia.org/cat-face-with-tears-of-joy/
grinning cat face with smiling eyes,U+1F638,eye cat smile grin face,The cat variant of the Grinning Face Emoji. Grinning Cat Face With Smiling Eyes was approved as part of Unicode 6.0 in 2010 and added to Emo http://emojipedia.org/grinning-cat-face-with-smiling-eyes/
face with medical mask,U+1F637,medicine mask cold doctor sick face,"A person with a surgical mask on their face, generally used in a hospital setting, or when working with dangerous fumes. Also seen in public http://emojipedia.org/face-with-medical-mask/"
face without mouth,U+1F636,silent mouth quiet face,"This emoji has eyes, and no mouth. Represents silence, as this emoji is always silent. Imagine the things he would say if he had a mouth! Fa http://emojipedia.org/face-without-mouth/"
dizzy face,U+1F635,face dizzy,"A dizzy face, looking sick or confused from being spun around in circles too many times. Difficult to distinguish from the Astonished Face i http://emojipedia.org/dizzy-face/"
sleeping face,U+1F634,zzz sleep face,"Face with eyes closed, and a sleep symbol – Zzz – over the head Generally used instead of the Sleepy Face Emoji to indicate both sleeping, a http://emojipedia.org/sleeping-face/"
flushed face,U+1F633,flushed face dazed,"An embarrassed face with flushed red cheeks. This face is blushing due to a mistake, or other embarrassing situation. In the Apple artwork t http://emojipedia.org/flushed-face/"
astonished face,U+1F632,totally shocked astonished face,"An astonished face, with a wide open mouth, gasping in shock or surprise. The Google artwork for this emoji looks slightly inebriated, with  http://emojipedia.org/astonished-face/"
face screaming in fear,U+1F631,scared munch fearful scream fear face,A screaming face with two hands holding the jaw and cheeks in fear. Wide eyes are shown with an open mouth. The Samsung version of this emoj http://emojipedia.org/face-screaming-in-fear/
face with open mouth & cold sweat,U+1F630,blue cold mouth open sweat rushed face,"A look of concern, with a blue forehead and sweat dripping down the cheek. The exception to this emoji was the Windows version which appeare http://emojipedia.org/face-with-open-mouth-and-cold-sweat/"
hushed face,U+1F62F,surprised stunned hushed face,"A face that looks more surprised than hushed, it has high eyebrows, and an open mouth. The appearance is similar to the Astonished face, but http://emojipedia.org/hushed-face/"
face with open mouth,U+1F62E,mouth open sympathy face,"A face with the mouth wide open, which is generally used to represent an element of surprise. Can also be used for “mock shock”, as it is le http://emojipedia.org/face-with-open-mouth/"
loudly crying face,U+1F62D,sob sad face cry tear,A sad face with tears streaming down both cheeks. This face is distraught and inconsolable. Not to be confused with the tears of joy emoji.  http://emojipedia.org/loudly-crying-face/
grimacing face,U+1F62C,grimace face,"A grimace emoji, showing bared teeth, usually for when a mistake or unfavorable situation has arisen – aka “eek!” The appearance of this emo http://emojipedia.org/grimacing-face/"
tired face,U+1F62B,tired face,An exhausted-looking face with an open mouth and tightly closed eyes. On some platforms this emoji is similar in appearance to the Weary Fac http://emojipedia.org/tired-face/
sleepy face,U+1F62A,sleep face,"Not to be confused with Sleeping Face Emoji, this sleepy-face emoji features a snot bubble coming out of the nose. This is used in anime and http://emojipedia.org/sleepy-face/"
weary face,U+1F629,tired face weary,"A distraught-looking emoji with an open mouth, and crescent shaped eyes. Appears to have given up. Very similar in appearance to the Tired F http://emojipedia.org/weary-face/"
fearful face,U+1F628,scared fearful fear face,A face with wide open eyes and raised eyebrows. Appears to be shocked by a scary event. Fearful Face was approved as part of Unicode 6.0 in  http://emojipedia.org/fearful-face/
anguished face,U+1F627,anguished face,"This face has raised eyebrows, open eyes and open mouth. A mixture of shock and disappointment. Anguished Face was approved as part of Unico http://emojipedia.org/anguished-face/"
frowning face with open mouth,U+1F626,mouth open face frown,Face with open eyes and open mouth. The Apple artwork for this emoji looks like a person yawning. Google and Microsoft’s artwork appear clos http://emojipedia.org/frowning-face-with-open-mouth/
disappointed but relieved face,U+1F625,disappointed whew relieved face,"This face has sweat dripping from its brow, due to a stressful situation. Not to be confused with the Crying Face emoji, which has a tear on http://emojipedia.org/disappointed-but-relieved-face/"
face with steam from nose,U+1F624,triumph face won,"A face with air coming out of its nose, in a proud yet disdainful way. Commonly used for representing frustration at a situation, or a being http://emojipedia.org/face-with-look-of-triumph/"
persevering face,U+1F623,persevere face,"Face with scrunched up and closed eyes, frowning. Used to show helplessness in a situation. May be on the verge of tears. Persevering Face w http://emojipedia.org/persevering-face/"
crying face,U+1F622,sad face cry tear,"A sad face with a single tear running from one eye, down the cheek. Hurt and upset, but not crying hysterically. Some versions of this emoji http://emojipedia.org/crying-face/"
pouting face,U+1F621,rage angry pouting face red mad,"A pouting face outwardly showing displeasure with a person or situation. Displayed with a furrowed brow on most platforms, this emoji is com http://emojipedia.org/pouting-face/"
angry face,U+1F620,angry face mad,"An angry looking face. Has inward-facing eyebrows, and a frowning mouth. Expresses anger, grumpiness or annoyance at a situation. Angry Face http://emojipedia.org/angry-face/"
worried face,U+1F61F,face worried,"Face with a sad mouth, and worried-looking eyebrows. Worried Face was approved as part of Unicode 6.1 in 2012 and added to Emoji 1.0 in 2015 http://emojipedia.org/worried-face/"
disappointed face,U+1F61E,disappointed face,A sad face with a frowning mouth and disappointed eyes. Not to be confused with the pensive face which is more remorseful. Disappointed Face http://emojipedia.org/disappointed-face/
face with stuck-out tongue & closed eyes,U+1F61D,horrible eye face tongue taste,"Has both eyes closed, sticking tongue out. Face With Stuck-out Tongue & Closed Eyes was approved as part of Unicode 6.0 in 2010 under the na http://emojipedia.org/face-with-stuck-out-tongue-and-tightly-closed-eyes/"
face with stuck-out tongue & winking eye,U+1F61C,eye wink face tongue joke,"A face showing a stuck-out tongue, winking at the same time. Used in an attempt to be wacky, zany, or otherwise joking. Face With Stuck-out  http://emojipedia.org/face-with-stuck-out-tongue-and-winking-eye/"
face with stuck-out tongue,U+1F61B,face tongue,A cheeky face sticking its tongue out in jest. Used as a way of stating “I’m kidding” or generally being jovial and not serious. Face With S http://emojipedia.org/face-with-stuck-out-tongue/
kissing face with closed eyes,U+1F61A,kiss eye closed face,"A face with pursed lips, slightly blushing while making kissing motion. More intimate than the regular kissing face emoji, due to the eyes b http://emojipedia.org/kissing-face-with-closed-eyes/"
kissing face with smiling eyes,U+1F619,kiss eye smile face,"This emoji is kissing, but also looks like a whistling emoji, or blowing air. A bit more of an ‘innocent, I’m pretending I didn’t do anythin http://emojipedia.org/kissing-face-with-smiling-eyes/"
face blowing a kiss,U+1F618,kiss face,"An emoji face blowing a kiss; but officially called “Face Throwing A Kiss”. One eye is open, the other is winking. A heart is shown leaving  http://emojipedia.org/face-throwing-a-kiss/"
kissing face,U+1F617,kiss face,"This emoji is kissing, but also looks like a whistling emoji, or blowing air. A bit more of an ‘innocent, I’m pretending I didn’t do anythin http://emojipedia.org/kissing-face/"
confounded face,U+1F616,face confounded,"On the verge of tears, this emoji has tightly closed eyes, and a quivering mouth. Confounded Face was approved as part of Unicode 6.0 in 201 http://emojipedia.org/confounded-face/"
confused face,U+1F615,confused face,"Part displeased, part unsure what to think. This face isn’t sad, but is a bit confused and puzzled by the situation. On the spectrum of disp http://emojipedia.org/confused-face/"
pensive face,U+1F614,dejected pensive face,"A pensive, remorseful face. Saddened by life. Quietly considering where things all went wrong. Pensive Face was approved as part of Unicode  http://emojipedia.org/pensive-face/"
face with cold sweat,U+1F613,cold sweat face,"A face with a sad or neutral mouth, with a single drop of sweat. Face With Cold Sweat was approved as part of Unicode 6.0 in 2010 and added  http://emojipedia.org/face-with-cold-sweat/"
unamused face,U+1F612,unhappy unamused face,"This face is not amused. This is not a face of sadness, it is more of a grumpy, displeased look. Used to express dissatisfaction. The eyes a http://emojipedia.org/unamused-face/"
expressionless face,U+1F611,unexpressive expressionless inexpressive face,"A face with narrow, closed eyes, and a straight mouth. A deliberate display of ‘no comment’ as opposed to a completely neutral face. Express http://emojipedia.org/expressionless-face/"
neutral face,U+1F610,deadpan neutral face,"A face featuring a straight-and-closed mouth, not giving away any particular emotion. Neutral Face was approved as part of Unicode 6.0 in 20 http://emojipedia.org/neutral-face/"
smirking face,U+1F60F,face smirk,"A sly smile, often used with a sexual, or smug connotation. Not to be confused with the unamused face, which has similar eyes, but a displea http://emojipedia.org/smirking-face/"
smiling face with sunglasses,U+1F60E,eyewear smile eye sun glasses sunglasses face bright cool,"A face smiling and wearing dark sunglasses that is used to denote a sense of cool. The nerd face emoji is a similar face, but with regular g http://emojipedia.org/smiling-face-with-sunglasses/"
smiling face with heart-eyes,U+1F60D,eye smile love face,"A face with hearts instead of eyes, or Heart Eyes Emoji as it is generally known. Used as an expression of love, for example:  “I love you”  http://emojipedia.org/smiling-face-with-heart-shaped-eyes/"
relieved face,U+1F60C,relieved face,"Pleasantly content. Happy, but not over the top. Feeling a sense of relief over a situation, or to convey a calm or content state of mind. R http://emojipedia.org/relieved-face/"
face savouring delicious food,U+1F60B,savouring smile yum um delicious face,"A friendly, goofy smile with tongue hanging out the side of the mouth. Used to indicate a silly happiness. Face Savouring Delicious Food was http://emojipedia.org/face-savouring-delicious-food/"
smiling face with smiling eyes,U+1F60A,eye smile face blush,"A smiling face, with smiling eyes and rosy cheeks. Showing a true sense of happiness. This emoji smiles with its mouth closed, which makes i http://emojipedia.org/smiling-face-with-smiling-eyes/"
winking face,U+1F609,wink face,"A classic winky emoji; winking and smiling. Used  to imply humor in written form, or may alternatively be used suggestively, as a form of fl http://emojipedia.org/winking-face/"
smiling face with horns,U+1F608,smile fairy tale horns fantasy face,"A smiling devil-like face. Has an evil-looking smiling face with inward facing eyebrows. In Apple’s artwork, this appears purple, and nearly http://emojipedia.org/smiling-face-with-horns/"
smiling face with halo,U+1F607,innocent smile fairy tale fantasy face halo angel,"A face with a halo above it, used to represent an angel, or a good person / person who has done a good deed. Smiling Face With Halo was appr http://emojipedia.org/smiling-face-with-halo/"
smiling face with open mouth & closed eyes,U+1F606,laugh smile mouth open face satisfied,"A face with a big smiling mouth, and scrunched-closed eyes. May be used in a similar context to the text-based >< emoticon. Smiling Face Wit http://emojipedia.org/smiling-face-with-open-mouth-and-tightly-closed-eyes/"
smiling face with open mouth & cold sweat,U+1F605,cold smile open sweat face,"The same face as Smiling Face With Open Mouth And Smiling Eyes, but with a single drop of sweat on one side of the face. A rarely used emoji http://emojipedia.org/smiling-face-with-open-mouth-and-cold-sweat/"
smiling face with open mouth & smiling eyes,U+1F604,eye smile mouth open face,"A happy and smiling face with big open mouth, showing teeth. Differs only slightly from the Smiling Face With Open Mouth emoji by the fact t http://emojipedia.org/smiling-face-with-open-mouth-and-smiling-eyes/"
smiling face with open mouth,U+1F603,smile mouth open face,"A classic smiley-face emoji with an open mouth showing teeth, and tall, open eyes. Differs only slightly from the Smiling Face With Open Mou http://emojipedia.org/smiling-face-with-open-mouth/"
face with tears of joy,U+1F602,laugh joy face tear,A laughing emoji which at small sizes is often mistaken for being tears of sadness. This emoji is laughing so much that it is crying tears o http://emojipedia.org/face-with-tears-of-joy/
grinning face with smiling eyes,U+1F601,eye smile grin face,"A version of the grinning face showing smiling eyes. This emoji previously looked closer to the grimacing face on many platforms, but is now http://emojipedia.org/grinning-face-with-smiling-eyes/"
grinning face,U+1F600,grin face,"A face with a big open (grinning) mouth, showing teeth. Differs only slightly from the Smiling Face With Open Mouth And Smiling Eyes by the  http://emojipedia.org/grinning-face/"
left arrow curving right,U+21AA,arrow,"An arrow pointing to the right, with a curved hook at the other end. Similar in appearance to a sideways U Turn symbol, or a forward icon in http://emojipedia.org/rightwards-arrow-with-hook/"
right arrow curving left,U+21A9,arrow,"An arrow pointing to the left, with a curved hook at the other end. Similar in appearance to a sideways U Turn symbol, or a reply icon in an http://emojipedia.org/leftwards-arrow-with-hook/"
moai,U+1F5FF,moyai statue face,A Moyai (also spelled Moai) is a type of human rock carving from Easter Island. Moyai is also a statue located near Shibuya Station in Tokyo http://emojipedia.org/moyai/
map of Japan,U+1F5FE,japan map,"Shows a map of the country of Japan, which is the only country to have its own emoji map. Other countries can be found on the various globe  http://emojipedia.org/silhouette-of-japan/"
Statue of Liberty,U+1F5FD,statue liberty,"The Statue of Liberty, often used as a depiction of New York City. Statue of Liberty was approved as part of Unicode 6.0 in 2010 and added t http://emojipedia.org/statue-of-liberty/"
Tokyo tower,U+1F5FC,tower tokyo,"The Tokyo Tower is the second-tallest building in Japan, located in Minato, Tokyo. Built in 1957, the design of the Tokyo Tower  was inspire http://emojipedia.org/tokyo-tower/"
mount fuji,U+1F5FB,fuji mountain,Mount Fuji (called Fuji-san in Japan) is the largest mountain in Japan. Often seen with snow on the peak in colder months of the year. It is http://emojipedia.org/mount-fuji/
world map,U+1F5FA,world map,"A map of planet earth, shown on some platforms as a physical paper map with crease lines where it has been folded. This emoji may also be sh http://emojipedia.org/world-map/"
ballot box with ballot,U+1F5F3,ballot box,"A ballot box shown with a slot on the top for voting purposes. A ballot is shown being inserted into the box. On most platforms, the ballot  http://emojipedia.org/ballot-box-with-ballot/"
right anger bubble,U+1F5EF,bubble angry balloon mad,"A form of speech balloon used with angular edges, used to denote angry speech in comics. Right Anger Bubble was approved as part of Unicode  http://emojipedia.org/right-anger-bubble/"
left speech bubble,U+1F5E8,speech dialog,"A left-facing speech bubble, which was included in Unicode 7.0, but not considered a standard addition for the purposes of emoji presentatio http://emojipedia.org/left-speech-bubble/"
speaking head,U+1F5E3,speaking silhouette speak head face,"The silhouette of a person speaking. Faces to the right, with lines demonstrating speech shown coming from the mouth. Speaking Head was appr http://emojipedia.org/speaking-head-in-silhouette/"
dagger,U+1F5E1,weapon knife,"A sharp and pointed knife used for stabbing, generally as a weapon. Looks similar to a sword, but much smaller and can be held easily in one http://emojipedia.org/dagger-knife/"
rolled-up newspaper,U+1F5DE,news rolled paper newspaper,"A newspaper, rolled up for delivery to a house. Rolled-up Newspaper was approved as part of Unicode 7.0 in 2014 under the name “Rolled-Up Ne http://emojipedia.org/rolled-up-newspaper/"
old key,U+1F5DD,old lock key clue,"An ornate old key, which may be used to lock items such as a chest or wardrobe. Old Key was approved as part of Unicode 7.0 in 2014 and adde http://emojipedia.org/old-key/"
clamp,U+1F5DC,compress tool vice,A metal C-clamp showing a screw which can be tightened to compress two objects (such as pieces of wood) together. This tool is often used in http://emojipedia.org/compression/
spiral calendar,U+1F5D3,spiral pad calendar,Spiral Calendar was approved as part of Unicode 7.0 in 2014 under the name “Spiral Calendar Pad” and added to Emoji 1.0 in 2015. Copy and pa http://emojipedia.org/spiral-calendar-pad/
spiral notepad,U+1F5D2,spiral note pad,Spiral Notepad was approved as part of Unicode 7.0 in 2014 under the name “Spiral Note Pad” and added to Emoji 1.0 in 2015. Copy and paste t http://emojipedia.org/spiral-note-pad/
Japanese “secret” button,U+3299,japanese ? “secret” ideograph,Japanese “secret” Button was approved as part of Unicode 1.1 in 1993 under the name “Circled Ideograph Secret” and added to Emoji 1.0 in 201 http://emojipedia.org/circled-ideograph-secret/
Japanese “congratulations” button,U+3297,japanese ? “congratulations” ideograph,"Translated from Japanese, this means ""congratulations"" or ""pray for happiness"". Japanese “congratulations” Button was approved as part of Un http://emojipedia.org/circled-ideograph-congratulation/"
file cabinet,U+1F5C4,filing file cabinet,File Cabinet was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/file-cabinet/
card file box,U+1F5C3,card file box,Card File Box was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/card-file-box/
card index dividers,U+1F5C2,index card dividers,A set of dividers for index cards or folders. Card Index Dividers was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015 http://emojipedia.org/card-index-dividers/
framed picture,U+1F5BC,museum painting picture frame art,"A framed containing a photograph or painting inside. Shows a variety of scenes depending on the platform, including hills, mountains, a beac http://emojipedia.org/frame-with-picture/"
down-left arrow,U+2199,intercardinal southwest arrow direction,"An arrow pointing diagonally in an down-left, or south-west direction. Down-left Arrow was approved as part of Unicode 1.1 in 1993 under the http://emojipedia.org/south-west-arrow/"
down-right arrow,U+2198,southeast intercardinal arrow direction,"An arrow pointing diagonally in an down-right, or south-east direction. Down-right Arrow was approved as part of Unicode 1.1 in 1993 under t http://emojipedia.org/south-east-arrow/"
up-right arrow,U+2197,intercardinal northeast arrow direction,"An arrow pointing diagonally in an up-right, or north-east direction. Up-right Arrow was approved as part of Unicode 1.1 in 1993 under the n http://emojipedia.org/north-east-arrow/"
up-left arrow,U+2196,intercardinal northwest arrow direction,"An arrow pointing diagonally in an up-left, or north-west direction. Up-left Arrow was approved as part of Unicode 1.1 in 1993 under the nam http://emojipedia.org/north-west-arrow/"
up-down arrow,U+2195,arrow,"A vertical line with arrowheads on both ends, pointing up and down. Up-down Arrow was approved as part of Unicode 1.1 in 1993 under the name http://emojipedia.org/up-down-arrow/"
left-right arrow,U+2194,arrow,"A horizontal line with arrowheads on both ends, pointing left and right. Left-right Arrow was approved as part of Unicode 1.1 in 1993 under  http://emojipedia.org/left-right-arrow/"
computer mouse,U+1F5B1,computer,"A three button mouse, which can be used with a variety of desktop computers. Apple displays this emoji using an image of its own Magic Mouse http://emojipedia.org/three-button-mouse/"
desktop computer,U+1F5A5,computer desktop,"A desktop computer that is shown as a current-model iMac in Apple's artwork, and a PC tower case in the Emoji One image. Not to be confused  http://emojipedia.org/desktop-computer/"
black heart,U+1F5A4,evil wicked black,"A heart shaded completely black. May be used to express morbidity, sorrow, or a form of dark humor. Not to be confused with the Heavy Black  http://emojipedia.org/black-heart/"
double curly loop,U+27BF,loop curl double,"Two curly loops, which represent a reel-to-reel tape recorder. Used as a symbol for voicemail on many phones. A variation of this logo is us http://emojipedia.org/double-curly-loop/"
curly loop,U+27B0,loop curl,"A curled loop, which is shown in black on most platforms. Displayed as a blue ribbon on Samsung devices. Similar to the Double Curly Loop bu http://emojipedia.org/curly-loop/"
right arrow,U+27A1,east arrow direction cardinal,"An arrow, pointing right. See the glossary for information on the term black in unicode character names. Right Arrow was approved as part of http://emojipedia.org/black-rightwards-arrow/"
information,U+2139,i information,"A lowercase letter i, enclosed in a rounded square or circle. Implemented in apps or websites to indicate that help or further information i http://emojipedia.org/information-source/"
trade mark,U+2122,tm trademark mark,"A trademark symbol, the letters TM displayed after a word that is trademarked. Trade Mark was approved as part of Unicode 1.1 in 1993 under  http://emojipedia.org/trade-mark-sign/"
vulcan salute,U+1F596,spock hand vulcan finger,"A raised hand, with the fingers separated between the ring finger and the middle finger. Vulcan Salute was approved as part of Unicode 7.0 i http://emojipedia.org/raised-hand-with-part-between-middle-and-ring-fingers/"
middle finger,U+1F595,hand finger,"A middle finger emoji, used in some western cultures as a rude or insulting gesture. The back of the hand is shown with the middle finger ra http://emojipedia.org/reversed-hand-with-middle-finger-extended/"
raised hand with fingers splayed,U+1F590,hand splayed finger,A raised hand with a part between each finger and the thumb. Held up in a manner that may indicate the number five. Similar to a waving hand http://emojipedia.org/raised-hand-with-fingers-splayed/
fountain pen,U+1F58B,pen fountain,Fountain Pen was approved as part of Unicode 7.0 in 2014 under the name “Lower Left Fountain Pen” and added to Emoji 1.0 in 2015. Copy and p http://emojipedia.org/lower-left-fountain-pen/
linked paperclips,U+1F587,paperclip link,"Multiple paperclips linked together. All platforms display this emoji with two paperclips, except LG which shows three paperclips. Not to be http://emojipedia.org/linked-paperclips/"
man dancing,U+1F57A,dance man,"A man dancing, intended to be the male equivalent of the female dancer. Man Dancing was approved as part of Unicode 9.0 in 2016 and added to http://emojipedia.org/man-dancing/"
joystick,U+1F579,game video game,A joystick which is generally displayed with a red ball on the top of the stick. The number of buttons on this device varies by platform. Ma http://emojipedia.org/joystick/
spider web,U+1F578,web spider,"A spider web, shown in the symmetrical orb web shape commonly seen in cartoon form. Spider Web was approved as part of Unicode 7.0 in 2014 a http://emojipedia.org/spider-web/"
sunglasses,U+1F576,eye eyewear dark glasses,"Sunglasses that can be worn outside for protection from the sun. Often association with connotations of being ""cool"", or leisurely in sunny  http://emojipedia.org/dark-sunglasses/"
detective,U+1F575,sleuth spy detective,"An undercover investigator, wearing a hat, and sometimes using a magnifying glass to closely inspect evidence. This emoji did not originally http://emojipedia.org/sleuth-or-spy/"
man in business suit levitating,U+1F574,business suit man,"A man wearing a suit, hovering above the ground with a shadow displayed beneath him. Generally shown wearing a fedora or similar style of ha http://emojipedia.org/man-in-business-suit-levitating/"
mantelpiece clock,U+1F570,clock,"A clock with a flat base, and a round face. Designed to sit on a mantel, often about a fireplace. The time shown on this clockface is 10.10  http://emojipedia.org/mantelpiece-clock/"
candle,U+1F56F,light,A candle burning with a red-orange-yellow flame. Some versions of this emoji display wax dripping down the side of the candle. Candle was ap http://emojipedia.org/candle/
twelve-thirty,U+1F567,thirty 12 clock 30 12:30 twelve,Twelve-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Twelve-Thirty” and added to Emoji 1.0 in 2015. Copy and http://emojipedia.org/clock-face-twelve-thirty/
eleven-thirty,U+1F566,11:30 thirty clock 11 eleven 30,Eleven-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Eleven-Thirty” and added to Emoji 1.0 in 2015. Copy and http://emojipedia.org/clock-face-eleven-thirty/
ten-thirty,U+1F565,ten thirty clock 10:30 10 30,Ten-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Ten-Thirty” and added to Emoji 1.0 in 2015. Copy and paste http://emojipedia.org/clock-face-ten-thirty/
nine-thirty,U+1F564,9:30 thirty clock nine 9 30,Nine-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Nine-Thirty” and added to Emoji 1.0 in 2015. Copy and pas http://emojipedia.org/clock-face-nine-thirty/
eight-thirty,U+1F563,thirty eight clock 8:30 8 30,Eight-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Eight-Thirty” and added to Emoji 1.0 in 2015. Copy and p http://emojipedia.org/clock-face-eight-thirty/
heavy division sign,U+2797,math division,Heavy Division Sign was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/heavy-division-sign/
seven-thirty,U+1F562,thirty clock seven 7:30 30 7,Seven-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Seven-Thirty” and added to Emoji 1.0 in 2015. Copy and p http://emojipedia.org/clock-face-seven-thirty/
heavy minus sign,U+2796,minus math,Heavy Minus Sign was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/heavy-minus-sign/
six-thirty,U+1F561,6:30 6 thirty six clock 30,Six-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Six-Thirty” and added to Emoji 1.0 in 2015. Copy and paste http://emojipedia.org/clock-face-six-thirty/
heavy plus sign,U+2795,math plus,Heavy Plus Sign was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/heavy-plus-sign/
five-thirty,U+1F560,5 five thirty 5:30 clock 30,Five-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Five-Thirty” and added to Emoji 1.0 in 2015. Copy and pas http://emojipedia.org/clock-face-five-thirty/
four-thirty,U+1F55F,4 thirty clock 4:30 four 30,Four-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Four-Thirty” and added to Emoji 1.0 in 2015. Copy and pas http://emojipedia.org/clock-face-four-thirty/
three-thirty,U+1F55E,thirty 3 clock three 3:30 30,Three-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Three-Thirty” and added to Emoji 1.0 in 2015. Copy and p http://emojipedia.org/clock-face-three-thirty/
two-thirty,U+1F55D,2:30 two thirty clock 2 30,Two-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Two-Thirty” and added to Emoji 1.0 in 2015. Copy and paste http://emojipedia.org/clock-face-two-thirty/
one-thirty,U+1F55C,thirty one clock 1:30 1 30,One-thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face One-Thirty” and added to Emoji 1.0 in 2015. Copy and paste http://emojipedia.org/clock-face-one-thirty/
twelve o’clock,U+1F55B,12:00 12 00 clock o’clock twelve,Twelve O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Twelve O'Clock” and added to Emoji 1.0 in 2015. Copy a http://emojipedia.org/clock-face-twelve-oclock/
eleven o’clock,U+1F55A,00 clock 11 11:00 o’clock eleven,Eleven O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Eleven O'Clock” and added to Emoji 1.0 in 2015. Copy a http://emojipedia.org/clock-face-eleven-oclock/
ten o’clock,U+1F559,ten 00 clock 10 o’clock 10:00,Ten O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Ten O'Clock” and added to Emoji 1.0 in 2015. Copy and pas http://emojipedia.org/clock-face-ten-oclock/
nine o’clock,U+1F558,00 clock nine 9:00 o’clock 9,Nine O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Nine O'Clock” and added to Emoji 1.0 in 2015. Copy and p http://emojipedia.org/clock-face-nine-oclock/
eight o’clock,U+1F557,eight 00 clock o’clock 8 8:00,Eight O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Eight O'Clock” and added to Emoji 1.0 in 2015. Copy and http://emojipedia.org/clock-face-eight-oclock/
seven o’clock,U+1F556,7:00 00 clock seven o’clock 7,Seven O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Seven O'Clock” and added to Emoji 1.0 in 2015. Copy and http://emojipedia.org/clock-face-seven-oclock/
six o’clock,U+1F555,6 six 00 clock 6:00 o’clock,Six O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Six O'Clock” and added to Emoji 1.0 in 2015. Copy and pas http://emojipedia.org/clock-face-six-oclock/
five o’clock,U+1F554,5 five 00 clock o’clock 5:00,Five O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Five O'Clock” and added to Emoji 1.0 in 2015. Copy and p http://emojipedia.org/clock-face-five-oclock/
four o’clock,U+1F553,4:00 4 00 clock four o’clock,Four O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Four O'Clock” and added to Emoji 1.0 in 2015. Copy and p http://emojipedia.org/clock-face-four-oclock/
three o’clock,U+1F552,3:00 3 00 clock three o’clock,Three O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Three O'Clock” and added to Emoji 1.0 in 2015. Copy and http://emojipedia.org/clock-face-three-oclock/
two o’clock,U+1F551,two 00 clock 2 2:00 o’clock,Two O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Two O'Clock” and added to Emoji 1.0 in 2015. Copy and pas http://emojipedia.org/clock-face-two-oclock/
one o’clock,U+1F550,00 one clock 1 o’clock 1:00,One O’clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face One O'Clock” and added to Emoji 1.0 in 2015. Copy and pas http://emojipedia.org/clock-face-one-oclock/
menorah,U+1F54E,candelabrum religion candlestick,"A menorah showing nine lit candles, used on the Jewish holiday of Hanukkah. Menorah was approved as part of Unicode 8.0 in 2015 under the na http://emojipedia.org/menorah-with-nine-branches/"
synagogue,U+1F54D,jewish religion temple jew,A synague; a place of worship for followers of Judaism. Displayed with a Star of David on the front. Synagogue was approved as part of Unico http://emojipedia.org/synagogue/
mosque,U+1F54C,islam religion muslim,"A mosque building, a place of worship for followes of Islam. Shown with a domed roof and a minaret. Mosque was approved as part of Unicode 8 http://emojipedia.org/mosque/"
kaaba,U+1F54B,islam religion muslim,A cube-shaped building located at the centre of the Al-Masjid al-Haram Mosque in Mecca. Kaaba was approved as part of Unicode 8.0 in 2015 an http://emojipedia.org/kaaba/
dove,U+1F54A,peace fly bird,"A dove, carrying an olive branch, as a symbol of peace. Dove was approved as part of Unicode 7.0 in 2014 under the name “Dove of Peace” and  http://emojipedia.org/dove-of-peace/"
